time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-28T05:05:13.890Z,-56.3262,-27.0891,112.99,5,mb,,56,5.745,0.7,us,usc000tacv,2015-03-17T02:37:37.040Z,"South Sandwich Islands region",earthquake,10.4,5.1,0.082,52,reviewed,us,us
2014-12-28T20:30:54.210Z,-59.7673,-27.1541,113.7,5.2,mwb,,53,7.489,0.79,us,usc000tag7,2016-11-10T21:45:53.865Z,"South Sandwich Islands region",earthquake,10.3,4.2,0.139,5,reviewed,us,us
2014-12-29T23:37:59.070Z,-20.583,-177.654,503.63,5,mb,,33,4.943,0.89,us,usc000taq0,2015-03-17T02:38:01.040Z,"261 km WNW of Haveluloto, Tonga",earthquake,8.1,5.6,0.034,296,reviewed,us,us
2014-12-30T21:17:23.920Z,-20.3263,-178.5639,599.28,6,mww,,25,4.103,0.73,us,usc000tauh,2022-05-03T18:21:25.622Z,"Fiji region",earthquake,9.3,3.6,,,reviewed,us,us
2014-12-31T00:06:09.940Z,-20.3096,-178.5461,605.82,5.4,mb,,29,4.106,0.87,us,usc000tavz,2022-05-03T17:09:36.764Z,"Fiji region",earthquake,9.4,2.2,0.03,400,reviewed,us,us
2014-12-31T01:37:33.930Z,-4.4378,144.002,123,5.8,mww,,14,3.805,1.12,us,usc000tawd,2022-07-27T12:04:32.840Z,"42 km S of Angoram, Papua New Guinea",earthquake,7.1,1.8,,,reviewed,us,us
2014-12-31T02:47:31.700Z,-25.4948,178.2221,608.91,5.1,mb,,56,5.065,0.88,us,usc000tawl,2022-05-03T17:09:38.167Z,"south of the Fiji Islands",earthquake,10.2,6.4,0.043,196,reviewed,us,us
2014-12-31T07:54:36.890Z,24.6707,122.5575,103.89,5.2,mb,,36,0.46,1.17,us,usc000taxi,2022-07-27T12:06:34.293Z,"Taiwan region",earthquake,7.6,4.6,0.043,194,reviewed,us,us
2014-12-31T09:26:22.450Z,13.7483,120.6673,110,5.5,mwb,,30,8.78,0.96,us,usc000taxu,2022-07-27T12:08:36.281Z,"10 km SSE of Calatagan, Philippines",earthquake,8.3,1.9,0.05,39,reviewed,us,us
2014-12-31T21:17:04.370Z,-17.6985,-178.7652,575.16,5,mb,,69,3.033,0.66,us,usc000tb0n,2015-03-17T02:38:30.040Z,"207 km ENE of Levuka, Fiji",earthquake,10.4,6.2,0.049,138,reviewed,us,us
2015-01-03T08:03:31.370Z,0.007,123.7942,118.15,5,mb,,35,1.459,1.05,us,usc000tbdx,2015-03-27T07:01:23.040Z,"100 km SE of Gorontalo, Indonesia",earthquake,7.1,5.6,0.067,71,reviewed,us,us
2015-01-08T18:42:12.240Z,43.6917,144.8685,132.33,5.3,mww,,49,1.699,0.55,us,usc000tda9,2016-11-10T21:46:02.290Z,"21 km W of Shibetsu, Japan",earthquake,7.6,4.3,,,reviewed,us,us
2015-01-10T17:55:02.630Z,-21.6328,-68.5339,108.78,5.5,mww,,30,0.678,1.13,us,usc000teil,2015-04-10T18:56:29.040Z,"99 km NNE of Calama, Chile",earthquake,5.6,3.3,,,reviewed,us,us
2015-01-13T17:47:17.240Z,-28.1975,-178.1742,194.4,5,mb,,88,1.065,1.18,us,usc000tfa7,2015-04-10T18:56:32.040Z,"Kermadec Islands region",earthquake,9.7,5.1,0.071,67,reviewed,us,us
2015-01-14T12:09:35.460Z,48.9312,141.9822,577,5,mb,,53,2.042,0.73,us,usc000tfln,2015-04-10T18:56:33.040Z,"17 km SSW of Uglegorsk, Russia",earthquake,9.5,5.1,0.024,572,reviewed,us,us
2015-01-16T17:15:47.520Z,-4.6931,151.8134,169.55,5,mb,,71,0.608,1.02,us,usc000tgh6,2015-04-20T15:34:52.040Z,"63 km SW of Kokopo, Papua New Guinea",earthquake,8.1,5.2,0.076,57,reviewed,us,us
2015-01-17T05:09:21.120Z,13.9467,120.641,145.98,5.3,mb,,40,8.965,0.77,us,usc000tgpb,2022-07-27T15:08:08.888Z,"2 km W of Bungahan, Philippines",earthquake,9,5.2,0.062,92,reviewed,us,us
2015-01-17T18:41:42.770Z,-22.237,-63.1461,557.17,5.6,mww,,26,5.347,1.15,us,usc000tgsw,2022-05-03T18:21:55.622Z,"60 km ESE of Yacuiba, Bolivia",earthquake,9,4.9,,,reviewed,us,us
2015-01-18T00:27:22.200Z,13.9268,120.6895,149.83,5.3,mb,,34,8.85,0.69,us,usc000tgvr,2015-04-20T16:05:33.040Z,"3 km ESE of Bungahan, Philippines",earthquake,7.9,4.9,0.045,170,reviewed,us,us
2015-01-18T04:47:38.080Z,51.9238,179.578,102,5.5,mww,,24,0.026,0.75,us,usc000tgw6,2023-07-25T17:18:06.376Z,"260 km W of Adak, Alaska",earthquake,6.5,1.7,,,reviewed,us,us
2015-01-19T02:33:38.500Z,-6.1637,145.2292,130.31,5,mb,,46,3.745,1.08,us,usc000th2h,2022-07-27T15:27:59.165Z,"19 km WSW of Goroka, Papua New Guinea",earthquake,9,5,0.054,108,reviewed,us,us
2015-01-20T03:02:14.910Z,5.8735,127.0504,103.9,5,mb,,66,5.077,0.39,us,usc000thd9,2015-04-20T16:05:36.040Z,"110 km ESE of Pondaguitan, Philippines",earthquake,7.4,3.8,0.047,148,reviewed,us,us
2015-01-20T06:59:52.020Z,14.9801,-91.4588,154,5.5,mww,,27,0.338,1.2,us,usc000the9,2024-06-16T23:48:26.360Z,"4 km NNW of San Francisco El Alto, Guatemala",earthquake,6.2,1.8,,,reviewed,us,us
2015-01-23T03:47:27.050Z,-17.0309,168.52,219.96,6.8,mww,,13,2.019,0.71,us,usc000tihy,2024-06-16T23:48:31.170Z,"81 km NNE of Port-Vila, Vanuatu",earthquake,7.7,1.1,,,reviewed,us,us
2015-01-25T23:55:50.720Z,-20.592,169.8943,142.19,5.2,mb,,42,3.537,0.8,us,usc000tj11,2015-04-24T16:55:35.040Z,"132 km SSE of Isangel, Vanuatu",earthquake,7.5,3.9,0.038,256,reviewed,us,us
2015-01-28T02:43:19.350Z,-20.9665,-178.3032,484.12,6.2,mww,,19,4.701,1.11,us,usb000tism,2022-05-03T18:22:11.384Z,"Fiji region",earthquake,8.9,3.8,,,reviewed,us,us
2015-01-28T08:38:02.960Z,-21.607,-179.3422,608.27,5,mb,,38,4.559,1.05,us,usb000tivx,2015-04-24T16:54:48.040Z,"Fiji region",earthquake,10.6,5.9,0.041,200,reviewed,us,us
2015-01-31T17:30:09.700Z,-6.8277,127.5523,345.68,5.2,mb,,22,3.888,0.89,us,usc000tkm1,2022-07-27T18:10:08.284Z,"197 km NNE of Lospalos, Timor Leste",earthquake,6,2.6,0.059,99,reviewed,us,us
